Crop,Average_Price_Per_Ton,Demand
Rice,2500,High
Maize,1800,Medium
Chickpea,4500,High
Kidneybeans,5000,High
Pigeonpeas,4800,Medium
Mothbeans,3500,Low
Mungbean,4200,Medium
Blackgram,4600,Medium
Lentil,4100,Medium
Pomegranate,8000,High
Banana,1500,High
Mango,6000,Medium
Grapes,7000,High
Watermelon,1000,Low
Muskmelon,1200,Low
Apple,9000,High
Orange,3500,Medium
Papaya,2000,Medium
Coconut,2500,High
Cotton,5500,High
Jute,3000,Medium
Coffee,12000,High
Wheat,2200,High
Potato,1200,High
Sugarcane,3000,High
Black Pepper,550000,High
Arecanut,450000,Medium
Ash gourd,12000,Low
Tomato,18000,Medium
Cardamom,900000,High
Cashew,700000,High

